"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1256","首页商品交互按钮：加入购物车-未登录","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToCartBtn"
"","1856","选项卡内容切换","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testTabSwitching"
"","1964","加入收藏夹 (未登录)","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAdd2Favorites"
"","2506","缩略图与大图交互","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testImageInteraction"
"","893","测试迷你购物车：初始状态、展开浮层及动态更新","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","miniCartTest"
"","1179","未登录状态访问受限页面","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testAccessRestrictedPage"
"","2319","邮箱已被注册","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1621","验证 Banner 链接跳转","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testClickBannerNOpenProductPage"
"","2028","添加无效数量商品到购物车","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAddInvalidQuantity"
"","2381","用户使用正确信息注册","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegister"
"","2658","大图弹窗切换","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSwitchImages"
"","1203","注册入口跳转","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testRegisterBtn"
"","847","点击货币下拉菜单，选择欧元","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","switchCurrencyTest"
"","1387","验证注册页title正确","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","goToLoginPageTest"
"","742","验证登录页title正确","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","goToLoginPageTest"
"","596","搜索存在商品","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
"","1144","未注册邮箱","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","870","页面跳转","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testOpenProductPage"
"","989","忘记密码跳转","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testForgottenPasswordLink"
"","2394","提交空评价表单","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitInvalidReview"
"","1882","未勾选 Privacy Policy","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.RegisterPageTest","注册页测试","tests.RegisterPageTest","testRegisterFormValidation"
"","1814","测试轮播图：箭头切换","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel"
"","1144","打开搜索页，点击左侧LOGO，正确返回首页","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","logoTest"
"","1067","首页商品交互按钮：加入收藏夹-未登录","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testProductAddToWishListBtn"
"","1180","错误密码","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","65","验证主页title正确","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","titleTest"
"","2187","提交有效评价","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitValidReview"
"","9686","核心业务流程测试","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.E2ETest","购物流程测试","tests.E2ETest","e2eTest"
"","969","首页商品交互按钮：加入对比-未登录","商城回归测试 suite","2026-07-30","passed","2026-07-30","tests.HomePageTest","主页测试","tests.HomePageTest","testProductCompareBtn"
