"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2078","提交有效评价","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSubmitValidReview"
"","909","已登录状态防重复登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","testDuplicateLogins"
"","52","验证主页title正确","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","titleTest"
"","1465","打开搜索页，点击左侧LOGO，正确返回首页","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","logoTest"
"","1079","未注册邮箱、错误密码、空值提交","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","loginFailed"
"","1327","验证用户输入正确的邮箱和密码后成功跳转至账户页","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.LoginPageTest","登录页测试","tests.LoginPageTest","login"
"","2459","缩略图与大图交互","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testImageInteraction"
"","816","点击货币下拉菜单，选择欧元","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","switchCurrencyTest"
"","474","直接点击搜索","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchTest"
"","1921","加入收藏夹 (未登录)","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testAdd2Favorites"
"","87","测试轮播图：底部分页圆","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testHeroBannerCarousel2"
"","2556","大图弹窗切换","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.ProductPageTest","商品详情页测试","tests.ProductPageTest","testSwitchImages"
"","532","搜索不存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchNotExistProductTest"
"","933","首页商品交互按钮：加入对比-未登录","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","testProductCompareBtn"
"","973","搜索存在商品","商城回归测试 suite","2026-07-27","passed","2026-07-27","tests.HomePageTest","主页测试","tests.HomePageTest","searchExistProductTest"
